Loading init from /workspace/pathfinder/train/checkpoints/d5_muon/best_model.pt
Loaded d=5 H=256 L=5 376,321 params
Init LER @ 4-param p=0.007: 0.02850
  >>> saved init checkpoint (ler=0.02850)
step  28200/40000  loss=0.0836  32.6 s/s  ETA 6min
step  28300/40000  loss=0.0785  32.6 s/s  ETA 6min
step  28400/40000  loss=0.0852  32.6 s/s  ETA 6min
step  28500/40000  loss=0.0958  32.6 s/s  ETA 6min
step  28600/40000  loss=0.0948  32.6 s/s  ETA 6min
step  28700/40000  loss=0.0705  32.6 s/s  ETA 6min
step  28800/40000  loss=0.0971  32.6 s/s  ETA 6min
step  28900/40000  loss=0.0956  32.6 s/s  ETA 6min
step  29000/40000  loss=0.0673  32.6 s/s  ETA 6min
step  29100/40000  loss=0.0625  32.6 s/s  ETA 6min
step  29200/40000  loss=0.0869  32.6 s/s  ETA 6min
step  29300/40000  loss=0.0850  32.6 s/s  ETA 5min
step  29400/40000  loss=0.0867  32.7 s/s  ETA 5min
step  29500/40000  loss=0.0707  32.7 s/s  ETA 5min
step  29600/40000  loss=0.1208  32.7 s/s  ETA 5min
step  29700/40000  loss=0.0989  32.7 s/s  ETA 5min
step  29800/40000  loss=0.0516  32.7 s/s  ETA 5min
step  29900/40000  loss=0.0406  32.7 s/s  ETA 5min
step  30000/40000  loss=0.0810  32.7 s/s  ETA 5min
  >>> LER @ p=0.007: 0.02770
step  30100/40000  loss=0.0791  32.7 s/s  ETA 5min
step  30200/40000  loss=0.1344  32.7 s/s  ETA 5min
step  30300/40000  loss=0.0691  32.7 s/s  ETA 5min
step  30400/40000  loss=0.0547  32.7 s/s  ETA 5min
step  30500/40000  loss=0.1165  32.7 s/s  ETA 5min
step  30600/40000  loss=0.0915  32.7 s/s  ETA 5min
step  30700/40000  loss=0.0693  32.7 s/s  ETA 5min
step  30800/40000  loss=0.0752  32.7 s/s  ETA 5min
step  30900/40000  loss=0.0321  32.7 s/s  ETA 5min
step  31000/40000  loss=0.1074  32.7 s/s  ETA 5min
step  31100/40000  loss=0.0617  32.7 s/s  ETA 5min
step  31200/40000  loss=0.0716  32.7 s/s  ETA 4min
step  31300/40000  loss=0.0639  32.7 s/s  ETA 4min
step  31400/40000  loss=0.1045  32.7 s/s  ETA 4min
step  31500/40000  loss=0.0391  32.7 s/s  ETA 4min
step  31600/40000  loss=0.0715  32.7 s/s  ETA 4min
step  31700/40000  loss=0.0694  32.7 s/s  ETA 4min
