Device: cuda
Model: d=9, H=256, L=9, 624,129 params (1.2 MB at FP16)
Optimizers: 2 (SingleDeviceMuon, AdamW)
Pre-compiling Stim samplers for curriculum... 41 samplers ready.
step  10500/80000  loss=0.3739  p=0.00070  lr=0.019295  15.4 steps/s  ETA 75min
step  10600/80000  loss=0.2559  p=0.00070  lr=0.019280  15.4 steps/s  ETA 75min
step  10700/80000  loss=0.3694  p=0.00070  lr=0.019265  15.4 steps/s  ETA 75min
step  10800/80000  loss=0.3115  p=0.00070  lr=0.019250  15.4 steps/s  ETA 75min
step  10900/80000  loss=0.2941  p=0.00070  lr=0.019235  15.4 steps/s  ETA 75min
step  11000/80000  loss=0.3291  p=0.00070  lr=0.019220  15.4 steps/s  ETA 75min
step  11100/80000  loss=0.2932  p=0.00070  lr=0.019204  15.4 steps/s  ETA 75min
step  11200/80000  loss=0.3452  p=0.00070  lr=0.019189  15.4 steps/s  ETA 74min
step  11300/80000  loss=0.2431  p=0.00070  lr=0.019173  15.4 steps/s  ETA 74min
step  11400/80000  loss=0.3286  p=0.00070  lr=0.019157  15.4 steps/s  ETA 74min
step  11500/80000  loss=0.2580  p=0.00070  lr=0.019141  15.4 steps/s  ETA 74min
step  11600/80000  loss=0.3112  p=0.00070  lr=0.019125  15.4 steps/s  ETA 74min
step  11700/80000  loss=0.2933  p=0.00070  lr=0.019108  15.4 steps/s  ETA 74min
step  11800/80000  loss=0.2746  p=0.00070  lr=0.019092  15.4 steps/s  ETA 74min
step  11900/80000  loss=0.2573  p=0.00070  lr=0.019075  15.4 steps/s  ETA 74min
step  12000/80000  loss=0.2746  p=0.00070  lr=0.019058  15.4 steps/s  ETA 73min
  >>> EVAL LER at p=0.007: 0.435800
step  12100/80000  loss=0.1392  p=0.00070  lr=0.019041  15.4 steps/s  ETA 73min
step  12200/80000  loss=0.2203  p=0.00070  lr=0.019024  15.4 steps/s  ETA 73min
step  12300/80000  loss=0.2547  p=0.00070  lr=0.019007  15.4 steps/s  ETA 73min
step  12400/80000  loss=0.2965  p=0.00070  lr=0.018990  15.4 steps/s  ETA 73min
step  12500/80000  loss=0.2184  p=0.00070  lr=0.018972  15.4 steps/s  ETA 73min
step  12600/80000  loss=0.3112  p=0.00070  lr=0.018955  15.4 steps/s  ETA 73min
step  12700/80000  loss=0.2745  p=0.00070  lr=0.018937  15.4 steps/s  ETA 73min
step  12800/80000  loss=0.2742  p=0.00070  lr=0.018919  15.4 steps/s  ETA 73min
step  12900/80000  loss=0.1563  p=0.00070  lr=0.018901  15.4 steps/s  ETA 73min
step  13000/80000  loss=0.2932  p=0.00070  lr=0.018883  15.4 steps/s  ETA 72min
step  13100/80000  loss=0.2947  p=0.00070  lr=0.018864  15.4 steps/s  ETA 72min
step  13200/80000  loss=0.3295  p=0.00070  lr=0.018846  15.4 steps/s  ETA 72min
step  13300/80000  loss=0.2948  p=0.00070  lr=0.018827  15.4 steps/s  ETA 72min
step  13400/80000  loss=0.1952  p=0.00070  lr=0.018809  15.4 steps/s  ETA 72min
step  13500/80000  loss=0.3317  p=0.00070  lr=0.018790  15.4 steps/s  ETA 72min
step  13600/80000  loss=0.2156  p=0.00070  lr=0.018771  15.4 steps/s  ETA 72min
step  13700/80000  loss=0.2946  p=0.00070  lr=0.018752  15.4 steps/s  ETA 72min
step  13800/80000  loss=0.2742  p=0.00070  lr=0.018732  15.4 steps/s  ETA 72min
step  13900/80000  loss=0.2511  p=0.00070  lr=0.018713  15.4 steps/s  ETA 71min
step  14000/80000  loss=0.2760  p=0.00070  lr=0.018693  15.4 steps/s  ETA 71min
  >>> EVAL LER at p=0.007: 0.421300
  >>> Saved best model (LER=0.421300)
step  14100/80000  loss=0.2367  p=0.00070  lr=0.018673  15.4 steps/s  ETA 71min
step  14200/80000  loss=0.4489  p=0.00070  lr=0.018654  15.4 steps/s  ETA 71min
step  14300/80000  loss=0.2367  p=0.00070  lr=0.018634  15.4 steps/s  ETA 71min
step  14400/80000  loss=0.2164  p=0.00070  lr=0.018613  15.4 steps/s  ETA 71min
step  14500/80000  loss=0.3127  p=0.00070  lr=0.018593  15.4 steps/s  ETA 71min
step  14600/80000  loss=0.2358  p=0.00070  lr=0.018573  15.4 steps/s  ETA 71min
step  14700/80000  loss=0.3455  p=0.00070  lr=0.018552  15.4 steps/s  ETA 71min
step  14800/80000  loss=0.4059  p=0.00070  lr=0.018532  15.4 steps/s  ETA 71min
step  14900/80000  loss=0.2746  p=0.00070  lr=0.018511  15.4 steps/s  ETA 70min
step  15000/80000  loss=0.3491  p=0.00070  lr=0.018490  15.4 steps/s  ETA 70min
step  15100/80000  loss=0.2354  p=0.00070  lr=0.018469  15.4 steps/s  ETA 70min
step  15200/80000  loss=0.2557  p=0.00070  lr=0.018448  15.4 steps/s  ETA 70min
step  15300/80000  loss=0.2747  p=0.00070  lr=0.018426  15.4 steps/s  ETA 70min
step  15400/80000  loss=0.2747  p=0.00070  lr=0.018405  15.4 steps/s  ETA 70min
step  15500/80000  loss=0.3456  p=0.00070  lr=0.018383  15.4 steps/s  ETA 70min
step  15600/80000  loss=0.2743  p=0.00070  lr=0.018361  15.4 steps/s  ETA 70min
step  15700/80000  loss=0.2384  p=0.00070  lr=0.018339  15.4 steps/s  ETA 70min
step  15800/80000  loss=0.2934  p=0.00070  lr=0.018317  15.4 steps/s  ETA 69min
step  15900/80000  loss=0.3113  p=0.00070  lr=0.018295  15.4 steps/s  ETA 69min
step  16000/80000  loss=0.3111  p=0.00070  lr=0.018273  15.4 steps/s  ETA 69min
  >>> EVAL LER at p=0.007: 0.431900
step  16100/80000  loss=0.3299  p=0.00071  lr=0.018251  15.4 steps/s  ETA 69min
step  16200/80000  loss=0.3457  p=0.00072  lr=0.018228  15.4 steps/s  ETA 69min
step  16300/80000  loss=0.3112  p=0.00073  lr=0.018205  15.4 steps/s  ETA 69min
step  16400/80000  loss=0.2742  p=0.00073  lr=0.018183  15.4 steps/s  ETA 69min
step  16500/80000  loss=0.4229  p=0.00074  lr=0.018160  15.4 steps/s  ETA 69min
step  16600/80000  loss=0.3111  p=0.00075  lr=0.018137  15.4 steps/s  ETA 69min
step  16700/80000  loss=0.4229  p=0.00076  lr=0.018113  15.4 steps/s  ETA 69min
step  16800/80000  loss=0.3775  p=0.00077  lr=0.018090  15.4 steps/s  ETA 68min
step  16900/80000  loss=0.2749  p=0.00078  lr=0.018067  15.4 steps/s  ETA 68min
step  17000/80000  loss=0.2419  p=0.00079  lr=0.018043  15.4 steps/s  ETA 68min
step  17100/80000  loss=0.2408  p=0.00080  lr=0.018019  15.4 steps/s  ETA 68min
step  17200/80000  loss=0.2965  p=0.00080  lr=0.017996  15.4 steps/s  ETA 68min
step  17300/80000  loss=0.2647  p=0.00081  lr=0.017972  15.4 steps/s  ETA 68min
step  17400/80000  loss=0.3770  p=0.00082  lr=0.017948  15.4 steps/s  ETA 68min
step  17500/80000  loss=0.2260  p=0.00083  lr=0.017923  15.4 steps/s  ETA 68min
step  17600/80000  loss=0.4738  p=0.00084  lr=0.017899  15.4 steps/s  ETA 68min
step  17700/80000  loss=0.2931  p=0.00085  lr=0.017875  15.4 steps/s  ETA 67min
step  17800/80000  loss=0.3969  p=0.00086  lr=0.017850  15.4 steps/s  ETA 67min
step  17900/80000  loss=0.2584  p=0.00087  lr=0.017825  15.4 steps/s  ETA 67min
step  18000/80000  loss=0.4002  p=0.00088  lr=0.017801  15.4 steps/s  ETA 67min
  >>> EVAL LER at p=0.007: 0.430000
