Loading init from /workspace/pathfinder/train/checkpoints/d3_muon/best_model.pt
Loaded d=3 H=256 L=3 252,417 params
Init LER @ 4-param p=0.007: 0.02990
  >>> saved init checkpoint (ler=0.02990)
step  14700/40000  loss=0.0696  53.5 s/s  ETA 8min
step  14800/40000  loss=0.0808  53.5 s/s  ETA 8min
step  14900/40000  loss=0.0772  53.5 s/s  ETA 8min
step  15000/40000  loss=0.1063  53.5 s/s  ETA 8min
step  15100/40000  loss=0.0611  53.5 s/s  ETA 8min
step  15200/40000  loss=0.0591  53.5 s/s  ETA 8min
step  15300/40000  loss=0.0600  53.5 s/s  ETA 8min
step  15400/40000  loss=0.1120  53.5 s/s  ETA 8min
step  15500/40000  loss=0.0726  53.5 s/s  ETA 8min
step  15600/40000  loss=0.0659  53.5 s/s  ETA 8min
step  15700/40000  loss=0.0813  53.5 s/s  ETA 8min
step  15800/40000  loss=0.0985  53.5 s/s  ETA 8min
step  15900/40000  loss=0.1178  53.5 s/s  ETA 8min
step  16000/40000  loss=0.0709  53.5 s/s  ETA 7min
  >>> LER @ p=0.007: 0.03020
step  16100/40000  loss=0.0976  53.5 s/s  ETA 7min
step  16200/40000  loss=0.0697  53.5 s/s  ETA 7min
step  16300/40000  loss=0.0596  53.5 s/s  ETA 7min
step  16400/40000  loss=0.0800  53.5 s/s  ETA 7min
step  16500/40000  loss=0.1020  53.5 s/s  ETA 7min
step  16600/40000  loss=0.1018  53.5 s/s  ETA 7min
step  16700/40000  loss=0.0696  53.5 s/s  ETA 7min
step  16800/40000  loss=0.0795  53.5 s/s  ETA 7min
step  16900/40000  loss=0.0930  53.5 s/s  ETA 7min
step  17000/40000  loss=0.0724  53.5 s/s  ETA 7min
step  17100/40000  loss=0.0837  53.5 s/s  ETA 7min
step  17200/40000  loss=0.1017  53.5 s/s  ETA 7min
step  17300/40000  loss=0.1005  53.5 s/s  ETA 7min
step  17400/40000  loss=0.0998  53.5 s/s  ETA 7min
step  17500/40000  loss=0.1036  53.5 s/s  ETA 7min
step  17600/40000  loss=0.1139  53.5 s/s  ETA 7min
step  17700/40000  loss=0.0741  53.5 s/s  ETA 7min
step  17800/40000  loss=0.0785  53.5 s/s  ETA 7min
step  17900/40000  loss=0.1007  53.5 s/s  ETA 7min
step  18000/40000  loss=0.0647  53.5 s/s  ETA 7min
  >>> LER @ p=0.007: 0.02780
step  18100/40000  loss=0.0566  53.5 s/s  ETA 7min
step  18200/40000  loss=0.0888  53.5 s/s  ETA 7min
step  18300/40000  loss=0.0590  53.5 s/s  ETA 7min
step  18400/40000  loss=0.0845  53.5 s/s  ETA 7min
step  18500/40000  loss=0.0859  53.5 s/s  ETA 7min
step  18600/40000  loss=0.1086  53.5 s/s  ETA 7min
step  18700/40000  loss=0.1186  53.5 s/s  ETA 7min
step  18800/40000  loss=0.0807  53.6 s/s  ETA 7min
step  18900/40000  loss=0.0727  53.6 s/s  ETA 7min
step  19000/40000  loss=0.0891  53.6 s/s  ETA 7min
step  19100/40000  loss=0.0664  53.5 s/s  ETA 7min
step  19200/40000  loss=0.0830  53.5 s/s  ETA 6min
step  19300/40000  loss=0.0969  53.5 s/s  ETA 6min
step  19400/40000  loss=0.0840  53.5 s/s  ETA 6min
step  19500/40000  loss=0.1263  53.5 s/s  ETA 6min
step  19600/40000  loss=0.0692  53.5 s/s  ETA 6min
step  19700/40000  loss=0.0820  53.5 s/s  ETA 6min
step  19800/40000  loss=0.0751  53.5 s/s  ETA 6min
step  19900/40000  loss=0.0564  53.5 s/s  ETA 6min
step  20000/40000  loss=0.0787  53.5 s/s  ETA 6min
  >>> LER @ p=0.007: 0.02880
step  20100/40000  loss=0.0802  53.5 s/s  ETA 6min
step  20200/40000  loss=0.0387  53.5 s/s  ETA 6min
step  20300/40000  loss=0.1115  53.5 s/s  ETA 6min
step  20400/40000  loss=0.0979  53.5 s/s  ETA 6min
step  20500/40000  loss=0.0807  53.5 s/s  ETA 6min
step  20600/40000  loss=0.0764  53.5 s/s  ETA 6min
step  20700/40000  loss=0.0921  53.5 s/s  ETA 6min
step  20800/40000  loss=0.1033  53.5 s/s  ETA 6min
step  20900/40000  loss=0.0771  53.5 s/s  ETA 6min
step  21000/40000  loss=0.0879  53.5 s/s  ETA 6min
step  21100/40000  loss=0.0725  53.5 s/s  ETA 6min
step  21200/40000  loss=0.0710  53.5 s/s  ETA 6min
step  21300/40000  loss=0.0820  53.5 s/s  ETA 6min
step  21400/40000  loss=0.0693  53.5 s/s  ETA 6min
step  21500/40000  loss=0.0821  53.5 s/s  ETA 6min
step  21600/40000  loss=0.0972  53.5 s/s  ETA 6min
step  21700/40000  loss=0.0716  53.5 s/s  ETA 6min
step  21800/40000  loss=0.0767  53.5 s/s  ETA 6min
step  21900/40000  loss=0.0851  53.5 s/s  ETA 6min
step  22000/40000  loss=0.0826  53.5 s/s  ETA 6min
  >>> LER @ p=0.007: 0.02760
step  22100/40000  loss=0.0685  53.5 s/s  ETA 6min
step  22200/40000  loss=0.0853  53.5 s/s  ETA 6min
step  22300/40000  loss=0.0874  53.5 s/s  ETA 6min
step  22400/40000  loss=0.0986  53.5 s/s  ETA 5min
step  22500/40000  loss=0.0827  53.5 s/s  ETA 5min
step  22600/40000  loss=0.1030  53.5 s/s  ETA 5min
step  22700/40000  loss=0.0989  53.5 s/s  ETA 5min
step  22800/40000  loss=0.0770  53.5 s/s  ETA 5min
step  22900/40000  loss=0.0664  53.5 s/s  ETA 5min
step  23000/40000  loss=0.0978  53.5 s/s  ETA 5min
