PathfinderHybrid d=7 H=192 L=7 heads=8 attn_every=2: 4,355,521 params
Pre-compiled 41 samplers (4-parameter noise).
Optimizer split: 2,543,808 Muon params, 1,811,713 AdamW params
step  21600/80000  loss=0.0207  p=0.00119  7.7 s/s  ETA 127min
step  21800/80000  loss=0.0057  p=0.00121  7.7 s/s  ETA 127min
step  22000/80000  loss=0.0088  p=0.00123  7.7 s/s  ETA 126min
step  22200/80000  loss=0.0034  p=0.00124  7.7 s/s  ETA 126min
step  22400/80000  loss=0.0066  p=0.00126  7.7 s/s  ETA 125min
step  22600/80000  loss=0.0103  p=0.00128  7.7 s/s  ETA 125min
step  22800/80000  loss=0.0013  p=0.00129  7.7 s/s  ETA 125min
step  23000/80000  loss=0.0026  p=0.00131  7.7 s/s  ETA 124min
step  23200/80000  loss=0.0022  p=0.00133  7.7 s/s  ETA 124min
step  23400/80000  loss=0.0204  p=0.00135  7.7 s/s  ETA 123min
step  23600/80000  loss=0.0118  p=0.00136  7.7 s/s  ETA 123min
step  23800/80000  loss=0.0007  p=0.00138  7.7 s/s  ETA 122min
step  24000/80000  loss=0.0061  p=0.00140  7.7 s/s  ETA 122min
  >>> LER @ p=0.007: 0.20020
  >>> saved (ler=0.20020)
step  24200/80000  loss=0.0141  p=0.00142  7.6 s/s  ETA 122min
step  24400/80000  loss=0.0005  p=0.00143  7.6 s/s  ETA 121min
step  24600/80000  loss=0.0156  p=0.00145  7.6 s/s  ETA 121min
step  24800/80000  loss=0.0165  p=0.00147  7.6 s/s  ETA 120min
step  25000/80000  loss=0.0435  p=0.00149  7.6 s/s  ETA 120min
step  25200/80000  loss=0.0067  p=0.00151  7.6 s/s  ETA 119min
step  25400/80000  loss=0.0002  p=0.00152  7.6 s/s  ETA 119min
step  25600/80000  loss=0.0091  p=0.00154  7.6 s/s  ETA 119min
step  25800/80000  loss=0.0277  p=0.00156  7.6 s/s  ETA 118min
step  26000/80000  loss=0.0112  p=0.00158  7.7 s/s  ETA 118min
step  26200/80000  loss=0.0028  p=0.00159  7.6 s/s  ETA 117min
step  26400/80000  loss=0.0036  p=0.00161  7.6 s/s  ETA 117min
step  26600/80000  loss=0.0026  p=0.00163  7.6 s/s  ETA 116min
step  26800/80000  loss=0.0152  p=0.00165  7.6 s/s  ETA 116min
step  27000/80000  loss=0.0132  p=0.00166  7.6 s/s  ETA 115min
step  27200/80000  loss=0.0110  p=0.00168  7.6 s/s  ETA 115min
step  27400/80000  loss=0.0038  p=0.00170  7.6 s/s  ETA 115min
step  27600/80000  loss=0.0096  p=0.00171  7.6 s/s  ETA 114min
step  27800/80000  loss=0.0257  p=0.00173  7.6 s/s  ETA 114min
step  28000/80000  loss=0.0042  p=0.00175  7.6 s/s  ETA 113min
  >>> LER @ p=0.007: 0.16030
  >>> saved (ler=0.16030)
step  28200/80000  loss=0.0018  p=0.00177  7.6 s/s  ETA 113min
step  28400/80000  loss=0.0122  p=0.00179  7.6 s/s  ETA 112min
step  28600/80000  loss=0.0024  p=0.00180  7.6 s/s  ETA 112min
step  28800/80000  loss=0.0032  p=0.00182  7.6 s/s  ETA 112min
step  29000/80000  loss=0.0040  p=0.00184  7.6 s/s  ETA 111min
step  29200/80000  loss=0.0243  p=0.00185  7.6 s/s  ETA 111min
step  29400/80000  loss=0.0097  p=0.00187  7.6 s/s  ETA 110min
step  29600/80000  loss=0.0067  p=0.00189  7.6 s/s  ETA 110min
step  29800/80000  loss=0.0125  p=0.00191  7.6 s/s  ETA 109min
