Loading init from /workspace/pathfinder/train/checkpoints/d7_final/best_model.pt
Loaded d=7 H=256 L=7 500,225 params
Init LER @ 4-param p=0.007: 0.04130
  >>> saved init checkpoint (ler=0.04130)
step  17300/40000  loss=0.1285  19.3 s/s  ETA 20min
step  17400/40000  loss=0.1092  19.3 s/s  ETA 19min
step  17500/40000  loss=0.1187  19.3 s/s  ETA 19min
step  17600/40000  loss=0.0925  19.3 s/s  ETA 19min
step  17700/40000  loss=0.0832  19.3 s/s  ETA 19min
step  17800/40000  loss=0.0879  19.3 s/s  ETA 19min
step  17900/40000  loss=0.1049  19.3 s/s  ETA 19min
step  18000/40000  loss=0.1155  19.3 s/s  ETA 19min
  >>> LER @ p=0.007: 0.04060
step  18100/40000  loss=0.1347  19.3 s/s  ETA 19min
step  18200/40000  loss=0.0763  19.3 s/s  ETA 19min
step  18300/40000  loss=0.1064  19.3 s/s  ETA 19min
step  18400/40000  loss=0.0979  19.3 s/s  ETA 19min
step  18500/40000  loss=0.0779  19.3 s/s  ETA 19min
step  18600/40000  loss=0.0756  19.3 s/s  ETA 18min
step  18700/40000  loss=0.1278  19.3 s/s  ETA 18min
step  18800/40000  loss=0.1051  19.3 s/s  ETA 18min
step  18900/40000  loss=0.0816  19.3 s/s  ETA 18min
step  19000/40000  loss=0.1790  19.3 s/s  ETA 18min
step  19100/40000  loss=0.0726  19.3 s/s  ETA 18min
step  19200/40000  loss=0.1460  19.3 s/s  ETA 18min
step  19300/40000  loss=0.1178  19.4 s/s  ETA 18min
step  19400/40000  loss=0.1223  19.4 s/s  ETA 18min
step  19500/40000  loss=0.1184  19.4 s/s  ETA 18min
step  19600/40000  loss=0.1075  19.4 s/s  ETA 18min
step  19700/40000  loss=0.0864  19.4 s/s  ETA 17min
step  19800/40000  loss=0.1270  19.4 s/s  ETA 17min
step  19900/40000  loss=0.0763  19.3 s/s  ETA 17min
step  20000/40000  loss=0.0904  19.3 s/s  ETA 17min
  >>> LER @ p=0.007: 0.04350
step  20100/40000  loss=0.1116  19.3 s/s  ETA 17min
step  20200/40000  loss=0.0776  19.3 s/s  ETA 17min
step  20300/40000  loss=0.1229  19.3 s/s  ETA 17min
step  20400/40000  loss=0.0945  19.3 s/s  ETA 17min
step  20500/40000  loss=0.1363  19.3 s/s  ETA 17min
step  20600/40000  loss=0.0760  19.3 s/s  ETA 17min
step  20700/40000  loss=0.1011  19.4 s/s  ETA 17min
step  20800/40000  loss=0.1583  19.4 s/s  ETA 17min
step  20900/40000  loss=0.1164  19.4 s/s  ETA 16min
step  21000/40000  loss=0.0783  19.4 s/s  ETA 16min
step  21100/40000  loss=0.0929  19.4 s/s  ETA 16min
step  21200/40000  loss=0.1070  19.4 s/s  ETA 16min
step  21300/40000  loss=0.1049  19.4 s/s  ETA 16min
step  21400/40000  loss=0.0708  19.4 s/s  ETA 16min
step  21500/40000  loss=0.1321  19.4 s/s  ETA 16min
step  21600/40000  loss=0.1118  19.4 s/s  ETA 16min
step  21700/40000  loss=0.1031  19.4 s/s  ETA 16min
step  21800/40000  loss=0.0695  19.4 s/s  ETA 16min
step  21900/40000  loss=0.1083  19.4 s/s  ETA 16min
step  22000/40000  loss=0.1382  19.4 s/s  ETA 15min
  >>> LER @ p=0.007: 0.03850
step  22100/40000  loss=0.1043  19.4 s/s  ETA 15min
step  22200/40000  loss=0.1027  19.4 s/s  ETA 15min
step  22300/40000  loss=0.0744  19.4 s/s  ETA 15min
step  22400/40000  loss=0.0805  19.4 s/s  ETA 15min
step  22500/40000  loss=0.1149  19.4 s/s  ETA 15min
step  22600/40000  loss=0.0971  19.4 s/s  ETA 15min
step  22700/40000  loss=0.0873  19.4 s/s  ETA 15min
step  22800/40000  loss=0.0884  19.4 s/s  ETA 15min
step  22900/40000  loss=0.0847  19.4 s/s  ETA 15min
step  23000/40000  loss=0.0756  19.4 s/s  ETA 15min
step  23100/40000  loss=0.0617  19.4 s/s  ETA 15min
step  23200/40000  loss=0.0802  19.3 s/s  ETA 14min
step  23300/40000  loss=0.1068  19.4 s/s  ETA 14min
step  23400/40000  loss=0.0912  19.4 s/s  ETA 14min
step  23500/40000  loss=0.1521  19.4 s/s  ETA 14min
step  23600/40000  loss=0.0947  19.4 s/s  ETA 14min
step  23700/40000  loss=0.1014  19.4 s/s  ETA 14min
step  23800/40000  loss=0.0793  19.4 s/s  ETA 14min
step  23900/40000  loss=0.0640  19.4 s/s  ETA 14min
step  24000/40000  loss=0.0832  19.4 s/s  ETA 14min
  >>> LER @ p=0.007: 0.03780
  >>> saved (ler=0.03780)
step  24100/40000  loss=0.1119  19.3 s/s  ETA 14min
step  24200/40000  loss=0.0816  19.3 s/s  ETA 14min
step  24300/40000  loss=0.0748  19.3 s/s  ETA 14min
step  24400/40000  loss=0.0902  19.3 s/s  ETA 13min
step  24500/40000  loss=0.0844  19.3 s/s  ETA 13min
step  24600/40000  loss=0.1268  19.3 s/s  ETA 13min
step  24700/40000  loss=0.0916  19.3 s/s  ETA 13min
step  24800/40000  loss=0.0982  19.3 s/s  ETA 13min
step  24900/40000  loss=0.0953  19.3 s/s  ETA 13min
step  25000/40000  loss=0.0737  19.3 s/s  ETA 13min
step  25100/40000  loss=0.0605  19.3 s/s  ETA 13min
step  25200/40000  loss=0.0928  19.3 s/s  ETA 13min
step  25300/40000  loss=0.0893  19.3 s/s  ETA 13min
step  25400/40000  loss=0.0729  19.3 s/s  ETA 13min
step  25500/40000  loss=0.0872  19.3 s/s  ETA 12min
step  25600/40000  loss=0.0578  19.4 s/s  ETA 12min
step  25700/40000  loss=0.0845  19.4 s/s  ETA 12min
step  25800/40000  loss=0.0715  19.4 s/s  ETA 12min
step  25900/40000  loss=0.0964  19.4 s/s  ETA 12min
step  26000/40000  loss=0.0631  19.4 s/s  ETA 12min
